date,serial_number,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw
2016-01-01,Z3015CR3,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300W33R,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300P8R7,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,S3010ZXR,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,S301NHSB,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z3042XAX,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300X7EZ,1,28.0,0.0,0.0,28.0,28.0
2016-01-01,S301146W,1,0.0,0.0,0.0,3128.0,3128.0
2016-01-01,W300D36Z,1,0.0,0.0,0.0,8.0,8.0
2016-01-01,Z3025LCN,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,W300BSKD,1,0.0,0.0,1.0,0.0,0.0
2016-01-01,Z30054Q5,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z304HT8H,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300GPY9,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z304L86L,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,W300H36V,1,0.0,0.0,0.0,8.0,8.0
2016-01-01,Z300WGAW,1,0.0,0.0,0.0,24.0,24.0
2016-01-01,Z300NK93,1,32.0,9.0,0.0,0.0,0.0
2016-01-01,Z3015V4D,1,0.0,0.0,1.0,56.0,56.0
2016-01-01,Z3025K64,1,0.0,0.0,0.0,40.0,40.0
2016-01-01,Z304JD7V,1,0.0,1.0,0.0,0.0,0.0
2016-01-01,Z302A14M,1,8.0,0.0,2.0,16.0,16.0
2016-01-01,Z300ZQYJ,1,368.0,0.0,0.0,32.0,32.0
2016-01-01,S3007K7N,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,W3006E5B,1,0.0,0.0,5.0,0.0,0.0
2016-01-01,Z303RK24,1,1.0,65535.0,0.0,7.0,7.0
2016-01-01,Z300GZ1N,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300WF3E,1,0.0,1.0,0.0,32.0,32.0
2016-01-01,Z304GR9H,1,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z300KHN0,1,0.0,0.0,1.0,40.0,40.0
2016-01-01,Z304JLQ9,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,W300C8F6,1,0.0,3.0,4295032833.0,8.0,8.0
2016-01-01,W300HCPE,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Z3041JPV,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,S30116WZ,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,S300Z6TX,0,0.0,0.0,0.0,0.0,0.0
2016-01-01,S30166E4,0,0.0,0.0,0.0,0.0,0.0
2016-01-02,Z3025LCN,1,0.0,1.0,0.0,8.0,8.0
2016-01-02,Z300GZ1N,1,0.0,0.0,0.0,0.0,0.0
2016-01-02,Z303RK24,1,1.0,65535.0,0.0,7.0,7.0
2016-01-02,Z304HS4P,0,0.0,0.0,0.0,0.0,0.0
2016-01-02,S3007K7N,1,0.0,0.0,0.0,0.0,0.0
2016-01-02,W300C8F6,1,0.0,3.0,4295032833.0,8.0,8.0
2016-01-02,Z302SW2G,0,0.0,0.0,0.0,0.0,0.0
2016-01-02,S300Z6GL,0,0.0,0.0,0.0,0.0,0.0
2016-01-02,Z300ZQYJ,1,392.0,0.0,0.0,32.0,32.0
2016-01-02,Z302A14M,1,8.0,0.0,2.0,96.0,96.0
2016-01-02,W300R6XF,0,0.0,0.0,0.0,0.0,0.0
2016-01-02,Z304JD7V,1,0.0,1.0,0.0,0.0,0.0
2016-01-02,W300D36Z,1,0.0,0.0,0.0,8.0,8.0
2016-01-02,Z3025K64,1,0.0,0.0,0.0,32.0,32.0
2016-01-02,Z3015CR3,1,0.0,0.0,0.0,0.0,0.0
